Model,K,Type,Memory_MB,Time_Step_sec
FlashCAVIA-0,10,FlashCAVIA,644,0.0039
NCF-0,10,NCF,1282,0.1090
FlashCAVIA-1,10,FlashCAVIA,1542,0.0099
NCF-1,10,NCF,1282,0.1139
FlashCAVIA-2,10,FlashCAVIA,2568,0.0177
NCF-2,10,NCF,1282,0.1059
FlashCAVIA-3,10,FlashCAVIA,2832,0.0378
NCF-3,10,NCF,1282,0.1127
FlashCAVIA-0,100,FlashCAVIA,2566,0.0188
NCF-0,100,NCF,2306,1.0914
FlashCAVIA-1,100,FlashCAVIA,8998,0.1102
NCF-1,100,NCF,2306,1.1069
FlashCAVIA-2,100,FlashCAVIA,14614,0.1675
NCF-2,100,NCF,2306,1.1192
FlashCAVIA-3,100,FlashCAVIA,14830,NaN
NCF-3,100,NCF,2306,1.1595
