method,folder,taylor_order,nb_shots,
,,,,
CAVIA,240925-032648,1,10,
NCF_PAML,240926-194910,2,10,
NCF_NOALM,240925-084558,1,100,
CAVIA,240925-021058,0,1000,
NCF_NOALM,240924-223628,0,10,
NCF_NOALM,240925-101039,1,1000,
NCF_PAML,240926-170811,1,100,
CAVIA,240924-215429,0,10,
CAVIA,240925-000154,0,100,
NCF_PAML,240926-142651,0,1000,
NCF_PAML,240926-224149,2,1000,
NCF_PAML,240926-235834,3,10,
NCF_NOALM,240925-212550,3,10,
NCF_PAML,240926-113729,0,10,
CAVIA,240925-195507,2,1000,
NCF_NOALM,240925-021117,0,1000,
NCF_NOALM,240925-225513,3,100,
CAVIA,240925-133801,2,100,
NCF_PAML,240926-183238,1,1000,
CAVIA,240925-053518,1,100,
NCF_NOALM,240925-195533,2,1000,
NCF_NOALM,240925-004725,0,100,
NCF_PAML,240927-025512,3,1000,
NCF_PAML,240927-012704,3,100,
NCF_PAML,240926-130257,0,100,
NCF_NOALM,240925-040928,1,10,
NCF_NOALM,240925-182948,2,100,
CAVIA,240925-112655,2,10,
NCF_PAML,240926-154224,1,10,
CAVIA,240925-211219,3,10,
NCF_NOALM,240926-002354,3,1000,
CAVIA,240925-225443,3,100,
CAVIA,240925-101016,1,1000,
CAVIA,240926-002316,3,1000,
NCF_PAML,240926-211629,2,100,
NCF_NOALM,240925-121055,2,10,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,method,taylor_order,nb_shots,folder
7,CAVIA,0,10,240924-215429
8,CAVIA,0,100,240925-000154
3,CAVIA,0,1000,240925-021058
0,CAVIA,1,10,240925-032648
19,CAVIA,1,100,240925-053518
32,CAVIA,1,1000,240925-101016
27,CAVIA,2,10,240925-112655
17,CAVIA,2,100,240925-133801
14,CAVIA,2,1000,240925-195507
29,CAVIA,3,10,240925-211219
31,CAVIA,3,100,240925-225443
33,CAVIA,3,1000,240926-002316
4,NCF_NOALM,0,10,240924-223628
21,NCF_NOALM,0,100,240925-004725
15,NCF_NOALM,0,1000,240925-021117
25,NCF_NOALM,1,10,240925-040928
2,NCF_NOALM,1,100,240925-084558
5,NCF_NOALM,1,1000,240925-101039
35,NCF_NOALM,2,10,240925-121055
26,NCF_NOALM,2,100,240925-182948
20,NCF_NOALM,2,1000,240925-195533
12,NCF_NOALM,3,10,240925-212550
16,NCF_NOALM,3,100,240925-225513
30,NCF_NOALM,3,1000,240926-002354
13,NCF_PAML,0,10,240926-113729
24,NCF_PAML,0,100,240926-130257
9,NCF_PAML,0,1000,240926-142651
28,NCF_PAML,1,10,240926-154224
6,NCF_PAML,1,100,240926-170811
18,NCF_PAML,1,1000,240926-183238
1,NCF_PAML,2,10,240926-194910
34,NCF_PAML,2,100,240926-211629
10,NCF_PAML,2,1000,240926-224149
11,NCF_PAML,3,10,240926-235834
23,NCF_PAML,3,100,240927-012704
22,NCF_PAML,3,1000,240927-025512
