method,taylor_order,nb_shots,outer_steps,walltime,mse_train,mse_val,ci_val,mse_test,ci_test,folder

CAVIA,1,10,300,0 hours 42 mins 18 secs,0.0020884,1.03e-01,4.62e-02,1.01e-01,4.56e-02,240925-032648
NCF_NOALM,1,100,0,1 hours 23 mins 58 secs,0.0127043,1.94e-02,9.28e-03,2.07e-02,1.13e-02,240925-084558
CAVIA,0,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,240925-021058
NCF_NOALM,0,10,0,1 hours 25 mins 4 secs,0.0042618,4.79e-02,1.47e-02,4.66e-02,1.86e-02,240924-223628
NCF_NOALM,1,1000,0,1 hours 15 mins 55 secs,0.0374591,3.10e-02,1.49e-02,3.22e-02,1.64e-02,240925-101039
CAVIA,0,10,300,0 hours 41 mins 38 secs,0.0008210,9.94e-02,3.75e-02,9.87e-02,3.78e-02,240924-215429
CAVIA,0,100,300,0 hours 45 mins 10 secs,0.0051249,1.36e-01,6.70e-02,1.35e-01,6.72e-02,240925-000154
NCF_NOALM,3,10,0,1 hours 28 mins 26 secs,0.0086381,4.27e-02,1.39e-02,4.48e-02,1.88e-02,240925-212550
NCF_PAML,0,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,240926-113729
CAVIA,2,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,240925-195507
NCF_NOALM,0,1000,0,1 hours 15 mins 12 secs,0.0386646,3.23e-02,1.59e-02,3.21e-02,1.68e-02,240925-021117
NCF_NOALM,3,100,0,1 hours 27 mins 40 secs,0.0128715,1.93e-02,9.21e-03,2.11e-02,1.22e-02,240925-225513
CAVIA,2,100,300,4 hours 51 mins 23 secs,0.0118649,1.37e-01,7.37e-02,1.36e-01,7.40e-02,240925-133801
CAVIA,1,100,300,3 hours 10 mins 18 secs,0.0117718,1.37e-01,7.38e-02,1.37e-01,7.37e-02,240925-053518
NCF_NOALM,2,1000,0,1 hours 16 mins 25 secs,0.0405853,3.28e-02,1.61e-02,3.28e-02,1.71e-02,240925-195533
NCF_NOALM,0,100,0,1 hours 23 mins 15 secs,0.0067088,1.71e-02,9.28e-03,1.88e-02,1.16e-02,240925-004725
NCF_NOALM,1,10,0,1 hours 25 mins 27 secs,0.0085968,4.20e-02,1.38e-02,4.57e-02,1.74e-02,240925-040928
NCF_NOALM,2,100,0,1 hours 24 mins 57 secs,0.0129494,1.94e-02,8.98e-03,2.12e-02,1.18e-02,240925-182948
CAVIA,2,10,300,0 hours 43 mins 37 secs,0.0019370,1.01e-01,4.78e-02,9.98e-02,4.72e-02,240925-112655
CAVIA,3,10,60,0 hours 13 mins 9 secs,0.0033705,1.05e-01,4.84e-02,1.03e-01,4.86e-02,240925-211219
NCF_NOALM,3,1000,0,1 hours 18 mins 25 secs,0.0387616,3.13e-02,1.47e-02,3.28e-02,1.69e-02,240926-002354
CAVIA,3,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,240925-225443
CAVIA,1,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,240925-101016
CAVIA,3,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,240926-002316
NCF_NOALM,2,10,0,1 hours 26 mins 42 secs,0.0094608,4.35e-02,1.77e-02,4.53e-02,1.90e-02,240925-121055
