method,taylor_order,nb_shots,mse_train,ci_train,mse_adapt,ci_adapt
CAVIA,0,10,0.0994,0.0375,0.0987,0.0378
CAVIA,0,100,0.136,0.067,0.135,0.0672
CAVIA,0,1000,,,,
CAVIA,1,10,0.103,0.0462,0.101,0.0456
CAVIA,1,100,0.137,0.0738,0.137,0.0737
CAVIA,1,1000,,,,
CAVIA,2,10,0.101,0.0478,0.0998,0.0472
CAVIA,2,100,0.137,0.0737,0.136,0.074
CAVIA,2,1000,,,,
CAVIA,3,10,0.105,0.0484,0.103,0.0486
CAVIA,3,100,,,,
CAVIA,3,1000,,,,
NCF_NOALM,0,10,0.0479,0.0147,0.0466,0.0186
NCF_NOALM,0,100,0.0171,0.00928,0.0188,0.0116
NCF_NOALM,0,1000,0.0323,0.0159,0.0321,0.0168
NCF_NOALM,1,10,0.042,0.0138,0.0457,0.0174
NCF_NOALM,1,100,0.0194,0.00928,0.0207,0.0113
NCF_NOALM,1,1000,0.031,0.0149,0.0322,0.0164
NCF_NOALM,2,10,0.0435,0.0177,0.0453,0.019
NCF_NOALM,2,100,0.0194,0.00898,0.0212,0.0118
NCF_NOALM,2,1000,0.0328,0.0161,0.0328,0.0171
NCF_NOALM,3,10,0.0427,0.0139,0.0448,0.0188
NCF_NOALM,3,100,0.0193,0.00921,0.0211,0.0122
NCF_NOALM,3,1000,0.0313,0.0147,0.0328,0.0169
NCF_PAML,0,10,0.0461,0.0178,0.0493,0.0205
NCF_PAML,0,100,0.0187,0.00884,0.0214,0.0134
NCF_PAML,0,1000,0.0329,0.0152,0.0342,0.0173
NCF_PAML,1,10,0.0464,0.0134,0.0499,0.02
NCF_PAML,1,100,0.0213,0.00957,0.0242,0.0145
NCF_PAML,1,1000,0.0337,0.016,0.0353,0.0164
NCF_PAML,2,10,0.0452,0.0153,0.0489,0.0202
NCF_PAML,2,100,0.0217,0.0106,0.024,0.0144
NCF_PAML,2,1000,0.0339,0.0158,0.035,0.0164
NCF_PAML,3,10,0.0444,0.0145,0.051,0.0209
NCF_PAML,3,100,0.0208,0.00974,0.0236,0.0145
NCF_PAML,3,1000,0.0333,0.0155,0.036,0.0165
