method,seed,taylor_order,infdim,folder
NCF,2024,0,True,240915-042429
NCF,2024,1,True,240915-062304
NCF,2024,2,True,240915-081659
NCF,2024,3,True,240915-100554
NCF,2024,0,False,240915-121605
NCF,2024,1,False,240915-135042
NCF,2024,2,False,240915-152051
NCF,2024,3,False,240915-171829
NCF,2026,0,True,240916-005010
NCF,2028,0,True,240916-014324
NCF,2026,1,True,240916-023638
NCF,2028,1,True,240916-033532
NCF,2026,2,True,240916-042615
NCF,2028,2,True,240916-053355
NCF,2026,3,True,240916-060057
NCF,2028,3,True,240916-071945
NCF,2026,0,False,240916-081359
NCF,2028,0,False,240916-095115
NCF,2026,1,False,240916-103038
NCF,2028,1,False,240916-112552
NCF,2026,2,False,240916-122704
NCF,2028,2,False,240916-133750
NCF,2026,3,False,240916-141535
NCF,2028,3,False,240916-145807
NCF,2024094,0,True,240920-185722
NCF,2024094,1,True,240920-203029
NCF,2024094,2,True,240920-221141
NCF,2024094,3,True,240921-000116
NCF,2024094,0,False,240921-014616
NCF,2024094,1,False,240921-031608
NCF,2024094,2,False,240921-044742
NCF,2024094,3,False,240921-061826
NCF,42,0,True,240921-171004
NCF,42,1,True,240921-184231
NCF,42,2,True,240921-202415
NCF,42,3,True,240921-222150
NCF,42,0,False,240922-002125
NCF,42,1,False,240922-015503
NCF,42,2,False,240922-032212
NCF,42,3,False,240922-045410
