method,num_envs,taylor_order,context_size,gradient_updates,outer_steps,mse_ind,ci_ind,mse_ood,ci_ood
CAVIA,250,0,2,1,10000,1.6060863733291626,0.15050745010375977,1.8010122776031494,0.08790957927703857
NCF,250,0,2,20,10000,0.003622194053605199,0.0008060553809627891,0.12012984603643417,0.04708174243569374
CAVIA,250,0,3,1,10000,1.5674211978912354,0.16030454635620117,1.7710061073303223,0.09331011772155762
NCF,250,0,3,20,10000,0.020622696727514267,0.01929950714111328,0.5596027374267578,0.18294750154018402
CAVIA,250,0,50,1,10000,0.6343072652816772,0.10724824666976929,0.9652178287506104,0.07348296046257019
NCF,250,0,50,20,10000,0.08054989576339722,0.007064886391162872,1.050732970237732,0.3011617362499237
CAVIA,1000,0,2,1,2000,1.6256530284881592,0.08353984355926514,1.7696682214736938,0.09330809116363525
NCF,1000,0,2,20,10000,0.01626354642212391,0.0053535159677267075,0.03055996261537075,0.011904063634574413
CAVIA,1000,0,3,1,2000,1.620621681213379,0.08059227466583252,1.7598483562469482,0.08745396137237549
NCF,1000,0,3,20,10000,0.010237491689622402,0.0029887256678193808,0.04279245808720589,0.0192757248878479
CAVIA,1000,0,50,1,2000,1.0821233987808228,0.05514824390411377,1.26236891746521,0.06576848030090332
NCF,1000,0,50,20,10000,0.13282252848148346,0.04884826019406319,0.41704073548316956,0.10406316816806793
NCF,12500,0,2,20,10000,0.2695612907409668,0.06771984696388245,0.05455777421593666,0.010035747662186623
NCF,12500,0,3,20,10000,0.26707136631011963,0.052385084331035614,0.015210841782391071,0.0025640996173024178
NCF,12500,0,50,20,10000,0.2011069357395172,0.0629325807094574,0.06360063701868057,0.01238839328289032
CAVIA,250,2,2,1,10000,1.60628080368042,0.15147709846496582,1.7931617498397827,0.08816111087799072
NCF,250,2,2,20,10000,0.001469682320021093,0.00033076026011258364,0.12412992119789124,0.05053182318806648
CAVIA,250,2,3,1,10000,1.5675355195999146,0.15870380401611328,1.7626360654830933,0.09163963794708252
NCF,250,2,3,20,10000,0.007539371959865093,0.0018536671996116638,0.4524384140968323,0.15346097946166992
CAVIA,250,2,50,1,10000,0.7240498661994934,0.10024213790893555,1.0124413967132568,0.06967437267303467
NCF,250,2,50,20,10000,0.019954603165388107,0.002479270100593567,0.45770782232284546,0.20753024518489838
CAVIA,1000,2,2,1,2000,1.622016191482544,0.08477222919464111,1.769873857498169,0.09455204010009766
NCF,1000,2,2,20,10000,0.02903544344007969,0.004600612446665764,0.05523209646344185,0.02385948784649372
CAVIA,1000,2,3,1,2000,1.6199373006820679,0.08098816871643066,1.7643567323684692,0.08843553066253662
NCF,1000,2,3,20,10000,0.03175537288188934,0.009098398499190807,0.07693300396203995,0.018505148589611053
CAVIA,1000,2,50,1,2000,0.678886890411377,0.04906123876571655,0.8689144849777222,0.06001639366149902
NCF,1000,2,50,20,10000,0.04766152426600456,0.010222654789686203,0.24431486427783966,0.046707913279533386
NCF,12500,2,2,20,10000,0.21864204108715057,0.043834321200847626,0.026820285245776176,0.0035483185201883316
NCF,12500,2,3,20,10000,0.19859439134597778,0.05724436044692993,0.028911832720041275,0.00432957336306572
NCF,12500,2,50,20,10000,0.13727375864982605,0.03540540859103203,0.0917111411690712,0.011327944695949554
CAVIA,250,0,2,5,10000,0.257131963968277,0.022996731102466583,0.33849063515663147,0.027547061443328857
CAVIA,250,0,3,5,10000,0.18886014819145203,0.02328522503376007,0.25481557846069336,0.020771920680999756
CAVIA,250,0,50,5,10000,0.12219163030385971,0.018302880227565765,0.1930556446313858,0.01874561607837677
CAVIA,1000,0,2,5,2000,0.32987451553344727,0.0140761137008667,0.40210896730422974,0.023451566696166992
CAVIA,1000,0,3,5,2000,0.2883487641811371,0.01296234130859375,0.3580586910247803,0.0229586660861969
CAVIA,1000,0,50,5,2000,0.11895164847373962,0.008046790957450867,0.17107300460338593,0.012259379029273987
CAVIA,250,2,2,5,10000,0.22168894112110138,0.023424506187438965,0.3061418831348419,0.022064179182052612
CAVIA,250,2,3,5,10000,0.2134181708097458,0.022670969367027283,0.3083876967430115,0.02546045184135437
CAVIA,250,2,50,5,10000,0.1446477621793747,0.020789895206689835,0.2141522765159607,0.018638044595718384
CAVIA,1000,2,2,5,2000,0.3012828826904297,0.013944089412689209,0.35458528995513916,0.020739585161209106
CAVIA,1000,2,3,5,2000,0.263942152261734,0.013381510972976685,0.32545435428619385,0.019878417253494263
CAVIA,1000,2,50,5,2000,0.08084596693515778,0.005963020026683807,0.12713944911956787,0.009836498647928238
CAVIA,250,0,2,100,10000,0.0024968786165118217,0.0002793758176267147,0.004018462263047695,0.00044301117304712534
CAVIA,250,0,3,100,10000,0.0012318086810410023,0.00019240519031882286,0.0026628219056874514,0.0003415290266275406
CAVIA,250,0,50,100,10000,0.0001094610124710016,1.0871575796045363e-05,0.0018143047345802188,0.00042753323214128613
CAVIA,1000,0,2,100,2000,0.002289263531565666,0.0001787522342056036,0.0033540772274136543,0.00032728095538914204
CAVIA,1000,0,3,100,2000,0.002261140150949359,0.00018570316024124622,0.0043958332389593124,0.0007464578375220299
CAVIA,1000,0,50,100,2000,0.00011793769954238087,7.702619768679142e-06,0.002523246919736266,0.0010680053383111954
CAVIA,250,2,2,100,10000,0.0008525333250872791,0.00010254792869091034,0.0018843577709048986,0.000867997296154499
CAVIA,250,2,3,100,10000,0.0016059906920418143,0.0002851912286132574,0.004796414170414209,0.0019271625205874443
CAVIA,250,2,50,100,2000,0.0011147948680445552,0.0002669944369699806,0.008691485971212387,0.0018076545093208551
CAVIA,1000,2,2,100,400,0.12373708933591843,0.006750624626874924,0.15658198297023773,0.008645743131637573
CAVIA,1000,2,3,100,400,0.01744980178773403,0.001282593235373497,0.03306702896952629,0.003959044814109802
CAVIA,1000,2,50,100,400,0.0011290559777989984,0.00020425490220077336,0.009505773894488811,0.00222003273665905
CAVIA,12500,0,2,1,2000,0.9554020762443542,0.015758514404296875,1.0441985130310059,0.06168556213378906
CAVIA,12500,0,3,1,2000,0.8530038595199585,0.015245378017425537,0.9511550664901733,0.06027689576148987
CAVIA,12500,2,2,1,2000,1.632147192955017,0.021388769149780273,1.754190444946289,0.08233201503753662
