method,num_envs,context_size,gradient_updates,outer_steps,mse_ind,ci_ind,mse_ood,ci_ood,walltime
CAVIA,250,2,1,10000,0.6943,0.1371,0.5812,0.1253,267.1076731681824
MAML,250,2,1,6500,2.575,0.5027,2.6045,0.5648,256.8445873260498
CAVIA,250,3,1,10000,0.4668,0.0829,0.485,0.1027,264.17483401298523
MAML,250,3,1,6500,2.6368,0.5225,2.5914,0.5555,258.672345161438
CAVIA,250,50,1,10000,0.4225,0.0957,0.4128,0.0919,266.3061010837555
MAML,250,50,1,6500,0.8594,0.1531,0.7394,0.1178,259.4779484272003
CAVIA,1000,2,1,10000,0.5481,0.1004,0.4926,0.1022,264.2206881046295
MAML,1000,2,1,6500,3.1388,0.5655,2.4592,0.4251,261.4778878688812
CAVIA,1000,3,1,10000,0.508,0.0936,0.4248,0.0918,265.579384803772
MAML,1000,3,1,6500,3.1337,0.5646,2.4543,0.4244,259.8725152015686
CAVIA,1000,50,1,10000,0.3577,0.0781,0.3725,0.0843,267.09231638908386
MAML,1000,50,1,6500,0.7994,0.1275,0.7715,0.1235,259.3880295753479
CAVIA,12500,2,1,10000,0.535,0.0871,0.476,0.0822,263.8068346977234
MAML,12500,2,1,6500,2.7179,0.5453,2.6457,0.5625,256.09318351745605
CAVIA,12500,3,1,10000,0.5976,0.1558,0.6344,0.1211,265.12490606307983
MAML,12500,3,1,6500,2.715,0.5447,2.6426,0.5618,256.9139015674591
CAVIA,12500,50,1,10000,0.3351,0.0825,0.3945,0.1007,264.0543158054352
MAML,12500,50,1,6500,0.728,0.1209,0.6331,0.1127,255.82368922233582
CAVIA,250,2,5,4000,0.4666,0.0689,0.4736,0.0705,338.04972314834595
MAML,250,2,5,2600,2.2475,0.4259,2.2544,0.4717,377.6185369491577
CAVIA,250,3,5,4000,0.5358,0.0743,0.5405,0.0795,336.207759141922
MAML,250,3,5,2600,2.2474,0.4249,2.2547,0.4713,376.06058979034424
CAVIA,250,50,5,4000,0.2223,0.0374,0.2387,0.0428,338.77047777175903
MAML,250,50,5,2600,0.784,0.1015,0.8314,0.1186,379.5432229042053
CAVIA,1000,2,5,4000,0.5815,0.0851,0.5734,0.0853,339.16905093193054
MAML,1000,2,5,2600,2.3515,0.4479,2.3236,0.4596,376.23513865470886
CAVIA,1000,3,5,4000,0.5049,0.0704,0.4977,0.0789,338.8382616043091
MAML,1000,3,5,2600,2.3488,0.4461,2.3197,0.4575,379.7444121837616
CAVIA,1000,50,5,4000,0.159,0.0235,0.165,0.0327,339.75225591659546
MAML,1000,50,5,2600,0.7701,0.1119,0.7241,0.0949,379.4529871940613
CAVIA,12500,2,5,4000,0.5768,0.0776,0.5964,0.0776,338.0708599090576
MAML,12500,2,5,2600,2.692,0.4516,2.2272,0.3722,373.45748591423035
CAVIA,12500,3,5,4000,0.5061,0.0788,0.4268,0.0709,336.330073595047
MAML,12500,3,5,2600,2.681,0.4497,2.2194,0.3708,383.14228916168213
CAVIA,12500,50,5,4000,0.1781,0.0347,0.1771,0.0331,338.6303815841675
MAML,12500,50,5,2600,0.8294,0.1149,0.8542,0.1259,378.71961736679077
CAVIA,250,2,100,1000,1.3745,0.3052,1.4591,0.2508,1409.9809358119965
MAML,250,2,100,650,3.6825,0.6633,3.6714,0.6955,1721.850400686264
CAVIA,250,3,100,1000,2.2821,0.4738,2.7139,0.5219,1391.4146378040314
MAML,250,3,100,650,3.6826,0.6633,3.6714,0.6954,1723.450401544571
CAVIA,250,50,100,1000,1.6281,0.3214,1.8028,0.3987,1401.9893085956573
MAML,250,50,100,650,3.9072,0.6994,4.1827,0.6702,1740.4535067081451
CAVIA,1000,2,100,1000,1.1471,0.1828,1.2074,0.2356,1402.440222978592
MAML,1000,2,100,650,3.6379,0.7047,3.4682,0.6934,1687.0995984077454
CAVIA,1000,3,100,1000,2.6059,0.4933,2.5149,0.5154,1387.0514659881592
MAML,1000,3,100,650,3.6382,0.7047,3.4687,0.6936,1704.2327387332916
CAVIA,1000,50,100,1000,1.6206,0.3477,1.1122,0.2573,1394.3705699443817
MAML,1000,50,100,650,3.9163,0.6913,4.2556,0.6807,1717.0177788734436
CAVIA,12500,2,100,1000,1.0944,0.1441,1.0678,0.1917,1398.459287405014
MAML,12500,2,100,650,4.1061,0.7753,3.8157,0.6976,1697.3548443317413
CAVIA,12500,3,100,1000,3.0868,0.5484,3.304,0.5651,1404.2179112434387
MAML,12500,3,100,650,4.1078,0.7753,3.8183,0.6982,1719.3702411651611
CAVIA,12500,50,100,1000,3.3463,0.5447,2.7186,0.4761,1407.8296208381653
MAML,12500,50,100,650,4.1902,0.7742,3.9528,0.7272,1701.0635962486267
