method,num_envs,mse_ind_mean,mse_ind_std,mse_ood_mean,mse_ood_std
MAML-1,250,2.0237333333333334,1.0088155893587953,1.9784333333333333,1.0730543338216074
MAML-1,1000,2.3573,1.3491833863489426,1.8949999999999998,0.9729826257441601
MAML-1,12500,2.0536333333333334,1.1480330584671041,1.9737999999999998,1.1610812934502046
CAVIA-1,250,0.5278666666666667,0.1458275122647758,0.49300000000000005,0.08448455480145471
CAVIA-1,1000,0.4712666666666667,0.10037451535790015,0.42996666666666666,0.06021647061505126
CAVIA-1,12500,0.48923333333333335,0.13710398729917864,0.5016333333333333,0.12198689820359122
FlashCAVIA-1,250,1.2221928238868713,0.48250024411389614,1.461965670188268,0.44699640796699125
FlashCAVIA-1,1000,1.3316168785095215,0.39804377144242825,1.4882477919260662,0.36644712690520986
FlashCAVIA-1,12500,1.287546545267105,0.44075609613530053,1.4145503342151642,0.41994623450120716
MAML-5,250,1.7596333333333332,0.8449232529249822,1.780166666666667,0.8216560492890765
MAML-5,1000,1.8234666666666668,0.91224329174477,1.7891333333333332,0.9223479838614781
MAML-5,12500,2.067466666666667,1.0722112913662742,1.7669333333333332,0.7904598745877828
CAVIA-5,250,0.4082333333333334,0.16469840112561307,0.41759999999999997,0.1585017665516697
CAVIA-5,1000,0.41513333333333335,0.2251002073151718,0.4120333333333333,0.21725957593011483
CAVIA-5,12500,0.4203333333333333,0.2127377806910031,0.40010000000000007,0.21092128863630621
FlashCAVIA-5,250,0.28938510641455645,0.2939246537383894,0.36326843748490006,0.29983454196794396
FlashCAVIA-5,1000,0.2643883203466733,0.07695979200141925,0.3337884272138278,0.06518753179700496
FlashCAVIA-5,12500,0.2527820939819018,0.06154567615000179,0.3089691673715909,0.06285572285161158
MAML-100,250,3.757433333333333,0.12970174761094522,3.8418333333333337,0.29519919263665534
MAML-100,1000,3.7308,0.16064778243100655,3.730833333333333,0.454461333155345
MAML-100,12500,4.1347,0.0480719252786905,3.8622666666666667,0.07841494330376912
CAVIA-100,250,1.7615666666666667,0.4682888567255612,1.9919333333333331,0.6484283486502834
CAVIA-100,1000,1.7912,0.7442127585576588,1.6115000000000002,0.7838140276876906
CAVIA-100,12500,2.5091666666666668,1.2320749179061041,2.363466666666667,1.1596281185506554
FlashCAVIA-100,250,0.002223139096410372,0.00156859482481328,0.005306836984042649,0.002988439983581131
FlashCAVIA-100,1000,0.005227846602792817,0.00808154173086623,0.01423671117906145,0.024537321713821156
FlashCAVIA-100,12500,0.00285474539850835,0.002372260618198679,0.0082877072272822,0.003958214493894503
NCF,250,0.002454207181775283,0.0026020255903221705,0.11981288428069088,0.1938914573206747
NCF,1000,0.008040651504415968,0.009381072384135214,0.11042109840006253,0.17663574030964577
NCF,12500,0.048903883745272915,0.014272001692641867,0.07124578091315921,0.06445819768911681
