method,num_envs,taylor_order,context_size,gradient_updates,outer_steps,mse_ind,ci_ind,mse_ood,ci_ood
CAVIA,250,2,3,1,50000,1.564808964729309,0.15953409671783447,1.7908962965011597,0.09521853923797607
CAVIA,250,2,50,1,50000,0.5979893803596497,0.09746474027633667,0.9000301957130432,0.06888890266418457
CAVIA,1000,2,2,100,12000,0.0018313274485990405,0.00013338483404368162,0.003074922598898411,0.0010813274420797825
CAVIA,12500,2,50,100,1000,0.0012670685537159443,4.258251283317804e-05,0.012686820700764656,0.003334205597639084
CAVIA,1000,0,2,1,12000,1.6059234142303467,0.08144664764404297,1.7450835704803467,0.0902559757232666
CAVIA,1000,0,50,100,12000,0.00011800034553743899,6.862010195618495e-06,0.0013287296751514077,0.0004844428040087223
CAVIA,1000,2,50,1,12000,0.6580997705459595,0.046296000480651855,0.8696433305740356,0.05658000707626343
CAVIA,250,2,2,1,50000,1.4810309410095215,0.14656496047973633,1.6704102754592896,0.08643412590026855
CAVIA,1000,0,2,5,12000,0.2788320779800415,0.012221723794937134,0.3335016667842865,0.02080652117729187
CAVIA,250,0,2,100,50000,0.0030834467615932226,0.0005404064431786537,0.0055098445154726505,0.0006611160933971405
CAVIA,12500,0,50,100,500,0.0002485953154973686,7.221009582281113e-06,0.002793728606775403,0.0005295390728861094
CAVIA,1000,2,2,5,12000,0.29008948802948,0.012767940759658813,0.3509957492351532,0.020018070936203003
CAVIA,1000,0,50,1,12000,1.022073745727539,0.054945021867752075,1.2011765241622925,0.06449520587921143
CAVIA,250,0,2,5,50000,0.24720332026481628,0.030098259449005127,0.34134241938591003,0.026484280824661255
CAVIA,12500,0,2,1,1000,1.6533187627792358,0.02237701416015625,1.7630552053451538,0.08526468276977539
CAVIA,1000,2,3,5,12000,0.24551191926002502,0.01086568832397461,0.3119306266307831,0.019141465425491333
CAVIA,1000,2,50,100,12000,0.021591324359178543,0.0017061568796634674,0.06411566585302353,0.007087772712111473
CAVIA,12500,2,3,1,1000,1.4053840637207031,0.01943504810333252,1.5270293951034546,0.07343935966491699
CAVIA,1000,0,3,5,12000,0.2894881069660187,0.012442976236343384,0.3582765758037567,0.020939230918884277
CAVIA,250,0,2,1,50000,1.569203495979309,0.15408086776733398,1.8054883480072021,0.0901498794555664
