method,num_envs,taylor_order,context_size,gradient_updates,mse_ind,ci_ind,mse_ood,ci_ood
NCF,125,0,2,None,0.00035056378692388535,0.00010702365398174152,6.794294357299805,0.8777656555175781
NCF,125,0,2,1,2.4787087440490723,0.4507114887237549,3.2437496185302734,0.19129300117492676
NCF,125,0,2,None,0.00025573023594915867,8.882256952347234e-05,6.806682586669922,0.880671501159668
NCF,125,0,2,5,2.447364568710327,0.44893789291381836,3.250009536743164,0.19114947319030762
NCF,125,0,2,None,0.0005640484159812331,0.00019866740331053734,6.774783611297607,0.880089282989502
NCF,125,0,2,100,2.5179355144500732,0.4567878246307373,3.7401134967803955,0.1976175308227539
NCF,125,0,3,None,0.0004931639996357262,0.00015980236639734358,6.693615913391113,0.8727235794067383
NCF,125,0,3,1,2.470428228378296,0.45084214210510254,3.2402307987213135,0.19135236740112305
NCF,125,0,3,None,0.0003375041123945266,0.00010738174751168117,6.724489688873291,0.8700132369995117
NCF,125,0,3,5,2.4025254249572754,0.44731974601745605,3.2587618827819824,0.1910262107849121
NCF,125,0,3,None,0.0015268664574250579,0.0006584088550880551,6.754181861877441,0.8684558868408203
NCF,125,0,3,100,1.9666516780853271,0.43210792541503906,3.9453556537628174,0.20070528984069824
NCF,125,0,50,None,0.004035540856420994,0.0011403756216168404,6.730319499969482,0.8686275482177734
NCF,125,0,50,1,2.5767464637756348,0.4576416015625,3.5379831790924072,0.19497013092041016
NCF,125,0,50,None,0.004667176399379969,0.0014675352722406387,6.827048301696777,0.8673181533813477
NCF,125,0,50,5,3.2841312885284424,0.5587077140808105,4.1411519050598145,0.22066068649291992
NCF,125,0,50,None,0.00896589457988739,0.0021727830171585083,6.804800987243652,0.8598294258117676
NCF,125,0,50,100,0.6726526021957397,0.08611142635345459,5.5011396408081055,0.31356287002563477
NCF,125,2,2,None,0.0003542838676366955,0.0002644906926434487,6.797170639038086,0.8802614212036133
NCF,125,2,2,1,2.482750415802002,0.45119762420654297,3.2473483085632324,0.19143939018249512
NCF,125,2,2,None,0.0005135867395438254,0.000146716003655456,6.794846534729004,0.880518913269043
NCF,125,2,2,5,2.4511640071868896,0.44901299476623535,3.2509801387786865,0.1911759376525879
NCF,125,2,2,None,0.0006850928184576333,0.00023420515935868025,6.782679557800293,0.8769698143005371
NCF,125,2,2,100,2.518488883972168,0.4564394950866699,3.74721360206604,0.1977214813232422
NCF,125,2,3,None,0.0007652686908841133,0.00028249621391296387,6.786196231842041,0.8764219284057617
NCF,125,2,3,1,2.470731258392334,0.4508993625640869,3.2405171394348145,0.191359281539917
NCF,125,2,3,None,0.0018399152904748917,0.000987296225503087,6.733371257781982,0.8712739944458008
NCF,125,2,3,5,2.4026920795440674,0.44732666015625,3.2584943771362305,0.1910266876220703
NCF,125,2,3,None,0.0030253930017352104,0.0019592070020735264,6.679058074951172,0.8594870567321777
NCF,125,2,3,100,1.9743404388427734,0.43123310804367065,3.9458107948303223,0.20071160793304443
NCF,125,2,50,None,0.004720206372439861,0.0009920448064804077,6.832190990447998,0.8658533096313477
NCF,125,2,50,1,2.5810680389404297,0.46051692962646484,3.5478644371032715,0.19507360458374023
NCF,125,2,50,None,0.0027085200417786837,0.0007389320526272058,6.697510242462158,0.8604626655578613
NCF,125,2,50,5,3.0763490200042725,0.5251715183258057,4.3604044914245605,0.21561861038208008
NCF,125,2,50,None,0.003106574295088649,0.0008718633325770497,6.899613380432129,0.8748769760131836
NCF,125,2,50,100,0.6675121188163757,0.08154672384262085,5.574423313140869,0.31621789932250977
NCF,1250,0,2,1,2.8317337036132812,0.15534329414367676,3.2497365474700928,0.19189095497131348
NCF,1250,0,2,None,0.0021512180101126432,0.0005848861765116453,6.78936243057251,0.880894660949707
NCF,1250,0,2,5,2.2286741733551025,0.12827801704406738,3.774261236190796,0.21307730674743652
NCF,1250,0,2,None,0.0014300153125077486,0.0004995167255401611,6.7872314453125,0.8783369064331055
NCF,1250,0,2,100,0.2581639587879181,0.012783952057361603,5.830202102661133,0.3827219009399414
