method,num_envs,taylor_order,context_size,gradient_updates,outer_steps,mse_ind,ci_ind,mse_ood,ci_ood
CAVIA,250,0,2,1,50000,1.569203495979309,0.15408086776733398,4.381869316101074,0.2980365753173828
NCF,250,0,2,20,10000,0.00048066742601804435,9.376036177854985e-05,6.765997409820557,0.875420093536377
CAVIA,250,0,2,5,50000,0.24720332026481628,0.030098259449005127,6.176486968994141,0.3930344581604004
CAVIA,250,0,2,100,50000,0.0030834467615932226,0.0005404064431786537,6.265961170196533,0.41841840744018555
CAVIA,250,0,3,1,50000,1.5166966915130615,0.15149080753326416,4.482118606567383,0.3129596710205078
NCF,250,0,3,(20, 20),10000,0.0015592562267556787,0.00032282224856317043,6.746334075927734,0.8661985397338867
CAVIA,250,0,3,5,50000,0.8737085461616516,0.09054553508758545,5.1760077476501465,0.3483901023864746
CAVIA,250,0,3,100,50000,0.0031840731389820576,0.0004938284400850534,6.247281551361084,0.41664934158325195
CAVIA,250,0,50,1,50000,0.6034274697303772,0.09473586082458496,5.064936637878418,0.3352537155151367
CAVIA,250,0,50,5,50000,0.09237980097532272,0.013332642614841461,6.217775344848633,0.4048757553100586
CAVIA,250,0,50,100,50000,9.944054909283295e-05,1.1335287126712501e-05,6.245908737182617,0.41592931747436523
CAVIA,250,2,2,1,50000,1.4810309410095215,0.14656496047973633,4.420804977416992,0.30458688735961914
CAVIA,250,2,2,5,50000,0.22766028344631195,0.026159659028053284,6.230560779571533,0.3963775634765625
CAVIA,250,2,2,100,50000,0.0030301662627607584,0.00040281424298882484,6.263938903808594,0.41782426834106445
CAVIA,250,2,3,1,50000,1.564808964729309,0.15953409671783447,4.4250168800354,0.3104867935180664
NCF,250,2,3,20,10000,0.0015140619361773133,0.0004488712875172496,6.678974628448486,0.8654270172119141
CAVIA,250,2,3,5,50000,0.20228353142738342,0.024606168270111084,6.20091438293457,0.39357757568359375
CAVIA,250,2,3,100,50000,0.0036064335145056248,0.0005436745705083013,6.244468688964844,0.41597938537597656
CAVIA,250,2,50,1,50000,0.5979893803596497,0.09746474027633667,5.067203044891357,0.33301734924316406
NCF,250,2,50,20,10000,0.007195443380624056,0.0010410365648567677,7.1282172203063965,0.8691906929016113
CAVIA,250,2,50,5,50000,0.09307515621185303,0.015501871705055237,6.183128833770752,0.4009122848510742
CAVIA,250,2,50,100,50000,0.0003352743515279144,5.010937456972897e-05,6.2379937171936035,0.41535377502441406
CAVIA,1000,0,2,1,12000,1.6059234142303467,0.08144664764404297,4.4635443687438965,0.2983589172363281
NCF,1000,0,2,20,10000,0.0007759274449199438,0.0002905502915382385,6.773446083068848,0.8786511421203613
CAVIA,1000,0,2,5,12000,0.2788320779800415,0.012221723794937134,6.55424165725708,0.4107546806335449
CAVIA,1000,0,2,100,12000,0.002006398281082511,0.00015590735711157322,6.265258312225342,0.4184083938598633
CAVIA,1000,0,3,1,12000,1.5660216808319092,0.07853436470031738,4.511721134185791,0.3071455955505371
NCF,1000,0,3,20,10000,0.008119150996208191,0.0013475976884365082,6.7318267822265625,0.8759274482727051
CAVIA,1000,0,3,5,12000,0.2894881069660187,0.012442976236343384,6.447442054748535,0.40589380264282227
CAVIA,1000,0,3,100,12000,0.0030193044804036617,0.0002320408821105957,6.242931365966797,0.41590213775634766
CAVIA,1000,0,50,1,12000,1.022073745727539,0.054945021867752075,4.7426066398620605,0.30997562408447266
NCF,1000,0,50,20,10000,0.02525705099105835,0.00317259319126606,7.0483927726745605,0.8766717910766602
CAVIA,1000,0,50,100,12000,0.00011800034553743899,6.862010195618495e-06,6.245832920074463,0.415708065032959
CAVIA,1000,2,2,1,12000,1.5633670091629028,0.0789651870727539,4.477483749389648,0.29724693298339844
NCF,1000,2,2,20,10000,0.001162467640824616,0.00029305569478310645,6.7772440910339355,0.8765292167663574
CAVIA,1000,2,2,5,12000,0.29008948802948,0.012767940759658813,6.528005123138428,0.40948915481567383
CAVIA,1000,2,2,100,12000,0.0018313274485990405,0.00013338483404368162,6.263728618621826,0.41777658462524414
CAVIA,1000,2,3,1,12000,1.5742156505584717,0.07810962200164795,4.514204978942871,0.30671167373657227
NCF,1000,2,3,20,10000,0.0020738206803798676,0.0004954741452820599,6.757070541381836,0.873957633972168
CAVIA,1000,2,3,5,12000,0.24551191926002502,0.01086568832397461,6.5027852058410645,0.40844106674194336
CAVIA,1000,2,3,100,12000,0.0028007247019559145,0.00020002922974526882,6.248427867889404,0.4165935516357422
CAVIA,1000,2,50,1,12000,0.6580997705459595,0.046296000480651855,5.086479663848877,0.33098506927490234
NCF,1000,2,50,20,10000,0.010855491273105145,0.001641540788114071,6.889106750488281,0.8792243003845215
CAVIA,1000,2,50,5,12000,0.1256975680589676,0.00797615572810173,6.171074867248535,0.3993558883666992
CAVIA,1000,2,50,100,12000,0.021591324359178543,0.0017061568796634674,6.194183826446533,0.4137868881225586
CAVIA,12500,0,2,1,1000,1.6533187627792358,0.02237701416015625,4.637293338775635,0.306729793548584
NCF,12500,0,2,20,10000,0.057520542293787,0.01403772458434105,6.756133079528809,0.8731832504272461
CAVIA,12500,0,2,5,1000,0.29819393157958984,0.0034698843955993652,6.595213413238525,0.41159629821777344
CAVIA,12500,0,3,1,1000,1.541178822517395,0.020725607872009277,4.677192211151123,0.3141655921936035
NCF,12500,0,3,20,10000,0.037459831684827805,0.008122548460960388,6.75073766708374,0.871551513671875
CAVIA,12500,0,3,100,1000,0.0040934039279818535,7.872888818383217e-05,6.2579545974731445,0.417266845703125
CAVIA,12500,0,50,1,1000,0.7359299659729004,0.013667821884155273,5.105583667755127,0.33409929275512695
NCF,12500,0,50,20,10000,0.06968339532613754,0.009080501273274422,6.817940711975098,0.8758535385131836
